Array Size,Number of Key Comparisons,CPU time taken for sorting
1000,4932,147853
2000,10864,265144
3000,16828,346441
4000,23728,472798
5000,29804,590902
6000,36656,704330
7000,43628,821977
8000,51456,943958
9000,57820,1069901
10000,64608,1195760
11000,71604,1322502
12000,79312,1451995
13000,86580,1570141
14000,94256,1700404
15000,102252,1818109
16000,110912,1950567
17000,118044,2082783
18000,124640,2221129
19000,131652,2324678
20000,139216,2442396
21000,146724,2610250
22000,154208,2716251
23000,162180,2838089
24000,170624,2966485
25000,178756,3101994
26000,186160,3222293
27000,194164,3332356
28000,202512,3482919
29000,211188,3603417
30000,219504,3728577
31000,228524,3870301
32000,237824,4011184
33000,246876,4168389
34000,253088,4237412
35000,260100,4378296
36000,267280,4493576
37000,275172,4633391
38000,282304,4784879
39000,290324,4917765
40000,298432,5057380
41000,307380,5291776
42000,314448,5362439
43000,322468,5550435
44000,330416,5608282
45000,339340,5801538
46000,347360,5888167
47000,356252,5987967
48000,365248,6238629
49000,375076,6318115
50000,382512,6459768
